Id,Title,Description,URL,Timestamp
1,YUKICARE Baby Adults thermomètre Easy to Use for Universal Use-Jasmine,"Ohrthermometer Stirnthermometer Digital Infrarot Fieberthermometer, professionelle 4-in-1 digitale medizinische Thermometer für Säuglinge und Kinder Erwachsene Körpertemperatur Indikatoren - FDA und CE-Zertifikate: Amazon.de: Drogerie & Körperpflege",https://www.amazon.de/Ohrthermometer-Stirnthermometer-Fieberthermometer-professionelle-K%C3%B6rpertemperatur/dp/B07CYLWFKS,2018-09-11T08:54:01Z
2,"Soluser 25000 mAh Solar Ladegerät stoßfest/ Staubdicht 2.1 A USB Ausgang Akku Bank, Outdoor Solar powerbank Handy Externer Akku Ladegeräte mit Starken LED-Licht für iPad iPhone-Handys","Dienstag ab 09:15 Uhr: Soluser 25000 mAh Solar Ladegerät stoßfest/ Staubdicht 2.1 A USB Ausgang Akku Bank, Outdoor Solar powerbank Handy Externer Akku Ladegeräte mit Starken LED-Licht für iPad iPhone-Handys (regulärer Amazon Preis: 29,99 Euro) - Erinnerung fü…",https://www.amazon.de/Soluser-Tragbares-Wasserdicht-Anschl%C3%BCsse-Taschenlampe-ABlack/dp/B0742939M4,2018-09-11T07:15:01Z
3,"iDeaUSA Bluetooth 4.1 Lautsprecher 20W Wireless Speaker, Dual Treiber für Premium Stereo Audio und Subwoofer für Kraftvollen Bass, mit eingebautem Mikrofon, geeignet für Smartphones, Tablets und Weitere","Montag ab 15:29 Uhr: iDeaUSA Bluetooth 4.1 Lautsprecher 20W Wireless Speaker, Dual Treiber für Premium Stereo Audio und Subwoofer für Kraftvollen Bass, mit eingebautem Mikrofon, geeignet für Smartphones, Tablets und Weitere (regulärer Amazon Preis: 49,99 Euro…",https://www.amazon.de/iDeaUSA-Lautsprecher-Kraftvollen-eingebautem-Smartphones/dp/B01MAWDILV,2018-09-10T13:29:01Z
4,Nuovi neuroni per contrastare l'Alzheimer: il modo migliore è l'esercizio fisico,Indurre la produzione di nuove cellule nervose nei topi che hanno forme di demenza contrasta il declino cognitivo. Il metodo ideale per innescarla? L'attività fisica: solo così si crea un ambiente favorevole alla crescita neurale.,https://www.focus.it/scienza/salute/esercizio-fisico-produce-neuroni-contro-alzheimer,2018-09-10T12:00:00Z
5,"Bharat Bandh: Rahul Gandhi says India ‘growing tired’ of Narendra Modi’s speeches, criticises PM over demonetisation","Speaking at a Bharat Bandh rally, Congress chief Rahul Gandhi said the country wanted to hear the prime minister to speak on burning issues concerning the common man, ""but the Prime Minister continues to be mute"". The post Bharat Bandh: Rahul Gandhi says Indi…",https://www.firstpost.com/politics/bharat-bandh-rahul-gandhi-says-india-growing-tired-of-narendra-modis-speeches-criticises-pm-over-demonetisation-5153671.html,2018-09-10T10:02:04Z
6,Activists cook food on the road,To support the Bharath Bandh against the BJP-led NDA government at the Centre for increasing the petrol and diesel prices and its failure to provide,https://www.thehindu.com/news/national/karnataka/activists-cook-food-on-the-road/article24915914.ece,2018-09-10T09:58:17Z
7,"Hurricane Florence: US East Coast to endure 'life-threatening impact' after landfall from major storm, say experts","'Pretend, presume and assume that a major hurricane is going to hit smack dab in the middle of South Carolina'",https://www.independent.co.uk/news/world/americas/hurricane-florence-path-landfall-latest-us-east-coast-virginia-north-south-carolina-category-four-a8530596.html,2018-09-10T09:58:00Z
8,"Gran Gala del Volley Campano, festa per 400 a Pietrarsa",Festa grande a Pietrarsa in occasione del Gran Gala del Volley della Fipav Campania 2018. Premiate le eccellenze espresse dal volley campano nel corso della...,https://napoli.repubblica.it/sport/2018/09/10/foto/gran_gala_del_volley_campano_festa_per_400_a_pietrarsa-206057904/1/,2018-09-10T09:57:47Z
9,Distressed people forcing opposition parties to come together: Sitaram Yechury,They said this effect is contributing to economic slowdown and reducing employment and new job opportunities.,https://www.moneycontrol.com/news/politics/distressed-people-forcing-opposition-parties-to-come-together-sitaram-yechury-2937051.html,2018-09-10T09:55:05Z
10,Il Pd non si può liberare di Renzi perché non ci sono alternative,"I dirigenti del Pd di Mantova chiedono a gran voce, scritto nero su bianco su un documento, ai vertici nazionali la ripresa dell'attività politica. Non si parla da marzo. Serve un rilancio rapido. È il mood in tante federazioni d'Italia. Riassumono lo stato d…",https://www.huffingtonpost.it/maurizio-guandalini/il-pd-non-si-puo-liberare-di-renzi-perche-non-ci-sono-alternative_a_23522149/,2018-09-10T09:55:00Z
